Inv Transaction,Supplier Name,Headserv Name,Stratdir Name,Account Description ,Redact Name,Paid Date,Sum of Inv Amount,,,,,,,,,,,,,,,,,,,,,,,,
460285,ACORN RECOVERY PROJECTS,Public Health,Public Health,Residential Home Long Stay Fees,,24/09/14,"5,303.57 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,AINSWORTH NURSING HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,552.09 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,APPLE COURT,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"2,070.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,AUDEN HOUSE RESIDENTIAL HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"8,713.95 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BALMORAL HOMES,Adult Services,"Community, Adult & Adults Early Intervention",Residents Long Stay Fee Income,,24/09/14,"-6,971.43 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BALMORAL HOMES,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"19,542.02 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BAMFORD GRANGE N/H,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"2,837.43 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BEECHFIELD LODGE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,036.51 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BELMONT PARKHILL LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"33,411.51 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BIRCHWOOD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"2,607.19 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BLACKCLIFFE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"67,302.04 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BOURNE HOUSE RESIDENTIAL HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"29,593.74 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BOWERFIELD COURT,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"3,175.71 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BOWLACRE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"13,265.86 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BROOKVALE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"6,818.84 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,BROUGHTON HOUSE HOME FOR  EX-SERVICE PERSONNEL,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,909.41 ,,,,,,,,,,,,,,,,,,,,,,,,
460285,BRYN HAVEN,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,Business Payment,24/09/14,973.62 ,,,,,,,,,,,,,,,,,,,,,,,,
460285,CAMBIAN LEARNING DISABILITIES MIDLANDS LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"19,580.97 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,CARE UK HOMECARE,Adult Services,"Community, Adult & Adults Early Intervention",Residents Long Stay Fee Income,,24/09/14,475.24 ,,,,,,,,,,,,,,,,,,,,,,,,
460285,CARE UK HOMECARE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"60,930.92 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,CARE UK LEARNING DISABILITIES SERVS LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"10,809.26 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,CHADDERTON TOTAL CAREUNIT LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"6,671.55 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,CHARNLEY HOUSE LIMITED,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"24,787.59 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,CLARKSON HOUSE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"18,454.40 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,CLEARWATER CARE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"3,511.86 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,CLIFFEMOUNT COMMUNITY CARE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"20,530.51 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,COMPASS CARE LIMITED,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"4,462.18 ",,,,,,,,,,,,,,,,,,,,,,,,
