Inv Transaction,Supplier Name,Headserv Name,Stratdir Name,Account Description,Redact Name,Paid Date,Sum of Inv Amount,,,,,,,,,,,,,,,,,,,,,,,,
460279,HC ONE OF A KIND - WINDSOR COURT,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,09/07/14,"7,196.91 ",,,,,,,,,,,,,,,,,,,,,,,,
460280,GREATER MANCHESTER WEST MENTAL HEALTH FOUNDATION TRUST,Public Health,Public Health,Residential Home Long Stay Fees,,07/07/14,"18,846.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460280,MRS P RUGGEE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,Business Payment,07/07/14,"4,446.78 ",,,,,,,,,,,,,,,,,,,,,,,,
460280,ST GEORGE'S NURSING HOME (OLDHAM) LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,07/07/14,"2,907.16 ",,,,,,,,,,,,,,,,,,,,,,,,
460281,POLEBANK HALL RESIDENTIAL CARE HOME LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,09/07/14,"5,532.57 ",,,,,,,,,,,,,,,,,,,,,,,,
460282,ACORN RECOVERY PROJECTS,Public Health,Public Health,Residential Home Long Stay Fees,,28/07/14,"7,637.13 ",,,,,,,,,,,,,,,,,,,,,,,,
460282,ADS,Public Health,Public Health,Residential Home Long Stay Fees,,28/07/14,"4,617.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460282,AINSWORTH NURSING HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,28/07/14,"1,275.12 ",,,,,,,,,,,,,,,,,,,,,,,,
460282,AMARA CARE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,28/07/14,"6,487.86 ",,,,,,,,,,,,,,,,,,,,,,,,
460282,APPLE COURT,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,28/07/14,"2,139.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460282,AUDEN HOUSE RESIDENTIAL HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,28/07/14,"6,454.29 ",,,,,,,,,,,,,,,,,,,,,,,,
460282,AUTISM CARE UK,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,28/07/14,"8,485.71 ",,,,,,,,,,,,,,,,,,,,,,,,
460282,BALMORAL HOMES,Adult Services,"Community, Adult & Adults Early Intervention",Cost Centre/Attribute Errors,,28/07/14,"6,971.43 ",,,,,,,,,,,,,,,,,,,,,,,,
