Body,Body name,Date,Transaction number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Registration Number,Expense Area,Expense Type,Expense Code,BVACOP,ProClass,ProClass Description,Extended Description
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,5100228750,363,510, Over the Break,149668,,YP:Music Centres,EDUCATION MATERIALS,220010,,171115,EDUCATION: Musical Instruments,Various repairs
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,5100227241,90102543,"17,000.00",Abacus Lighting Limited,101299,GB116376376,EN: HIGH/DRAIN (FUNC,STOCK (HELD IN SAP),602100,,NCLASS,Not Classified,COLUMNS: 6 M TB060/G2A GALV
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,1700049599,Redacted Personal Data,-19.23,ABSOLUTE CARE AT HOME LTD,144240,,PHYS SUPP 85+ LT,EXT DOM CARE SPOT CO,230845,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,1901088064,10637,717.36,ABSOLUTE CARE AT HOME LTD,144240,,PHYS SUPP 18-64 LT,EXT DOM CARE SPOT CO,230845,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,1901088064,10637,102.48,ABSOLUTE CARE AT HOME LTD,144240,,LEARN DIS 18-64 LT,EXT DOM CARE SPOT CO,230845,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,1901088064,10637,938.33,ABSOLUTE CARE AT HOME LTD,144240,,PHYS SUPP 65-74 LT,EXT DOM CARE SPOT CO,230845,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,1901088064,10637,204.96,ABSOLUTE CARE AT HOME LTD,144240,,SENS SUPP 65-74 LT,EXT DOM CARE SPOT CO,230845,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,1901088064,10637,86.47,ABSOLUTE CARE AT HOME LTD,144240,,MEM SUPP 65-74 LT,EXT DOM CARE SPOT CO,230845,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,1901088064,10637,115.29,ABSOLUTE CARE AT HOME LTD,144240,,MENT HLT 65-74 LT,EXT DOM CARE SPOT CO,230845,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford ,01/07/2014,1901088064,10637,"5,149.62",ABSOLUTE CARE AT HOME LTD,144240,,PHYS SUPP 75-84 LT,EXT DOM CARE SPOT CO,230845,,,,
