Body,Body name,Date,Transaction number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Registration Number,Expense Area,Expense Type,Expense Code,BVACOP,ProClass,ProClass Description,Extended Description
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,03/09/2014,1901095785,CHILDREN IN CARE,"1,100.00",ADOLESCENT RESOURCE CENTRE,1008,,LEAVING CARE TEAM,BOARDED OUT SEC23,230849,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,03/09/2014,1901095785,CHILDREN IN CARE,"1,218.40",ADOLESCENT RESOURCE CENTRE,1008,,LEAVING CARE TEAM,CLIENTS PERS NEEDS,220412,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,03/09/2014,1901095785,CHILDREN IN CARE,"1,047.80",ADOLESCENT RESOURCE CENTRE,1008,,PERM TEAM: CLIENTS,CLIENTS PERS NEEDS,220412,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,03/09/2014,1901095785,CHILDREN IN CARE,299.19,ADOLESCENT RESOURCE CENTRE,1008,,PERM TEAM: CLIENTS,FAM CONT PERS NEEDS,220828,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,03/09/2014,1901095785,CHILDREN IN CARE,79.15,ADOLESCENT RESOURCE CENTRE,1008,,TREATMENT FOSTER,CLIENTS PERS NEEDS,220412,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,03/09/2014,1901095785,CHILDREN IN CARE,134.95,ADOLESCENT RESOURCE CENTRE,1008,,INTENSIVE FOSTERING,CLIENTS PERS NEEDS,220412,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,03/09/2014,1901095785,CHILDREN IN CARE,6.05,ADOLESCENT RESOURCE CENTRE,1008,,Troubled Families,CLIENTS PERS NEEDS,220412,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,10/09/2014,1901097556,CHILDREN IN CARE,"1,154.50",ADOLESCENT RESOURCE CENTRE,1008,,LEAVING CARE TEAM,BOARDED OUT SEC23,230849,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,10/09/2014,1901097556,CHILDREN IN CARE,666.30,ADOLESCENT RESOURCE CENTRE,1008,,LEAVING CARE TEAM,CLIENTS PERS NEEDS,220412,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,10/09/2014,1901097556,CHILDREN IN CARE,834.00,ADOLESCENT RESOURCE CENTRE,1008,,PERM TEAM: CLIENTS,CLIENTS PERS NEEDS,220412,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,10/09/2014,1901097556,CHILDREN IN CARE,126.00,ADOLESCENT RESOURCE CENTRE,1008,,PERM TEAM: CLIENTS,FAM CONT PERS NEEDS,220828,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,10/09/2014,1901097556,CHILDREN IN CARE,6.76,ADOLESCENT RESOURCE CENTRE,1008,,PLACEMENT FOSTERING,VOCATIONAL TRAINING,190002,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,10/09/2014,1901097556,CHILDREN IN CARE,30.00,ADOLESCENT RESOURCE CENTRE,1008,,ADOPTION : CLIENT,CLIENTS PERS NEEDS,220412,,,,
http://statistics.data.gov.uk/id/local-authority/00BU,Trafford,10/09/2014,1901097556,CHILDREN IN CARE,4.88,ADOLESCENT RESOURCE CENTRE,1008,,PLACEMENT ADOPTION,ADOPTIONS,230836,,,,
